missingness,imputer,model,n_runs,mean_accuracy,std_accuracy,mean_f1,std_f1,mean_auc,std_auc,mean_rows_remaining
0.0,None,Logistic Regression,1,0.9824561403508771,,0.9861111111111112,,0.9953703703703703,,455.0
0.0,None,Random Forest,1,0.956140350877193,,0.9655172413793104,,0.9937169312169312,,455.0
0.1,Complete-case,Logistic Regression,3,0.9523809523809524,0.08247860988423224,0.9696969696969697,0.05248638810814777,1.0,0.0,19.666666666666668
0.1,Complete-case,Random Forest,3,0.9523809523809524,0.08247860988423224,0.9629629629629629,0.06415002990995845,0.9666666666666667,0.057735026918962595,19.666666666666668
0.1,KNN,Logistic Regression,5,0.9719298245614034,0.01143719720210988,0.9777579508613992,0.00914438569898546,0.9943121693121693,0.001467747422035198,455.0
0.1,KNN,Random Forest,5,0.9421052631578947,0.010001538816659064,0.9539220897283064,0.008301904645338986,0.9925264550264551,0.0010548371632101,455.0
0.1,Mean,Logistic Regression,5,0.9614035087719298,0.013303290252722005,0.9691307568667472,0.010785998452426847,0.993915343915344,0.0010084623466916323,455.0
0.1,Mean,Random Forest,5,0.9385964912280702,0.012405382126079783,0.9509664369193886,0.010429488814746037,0.9915013227513227,0.0009101427873361504,455.0
0.1,Median,Logistic Regression,5,0.956140350877193,0.0062026910630399,0.9648372803901722,0.004983936910849095,0.993452380952381,0.0010817081503833432,455.0
0.1,Median,Random Forest,5,0.9350877192982455,0.014678246079545185,0.9479898036236065,0.012441252091070458,0.9912698412698413,0.0018537700288589602,455.0
0.2,KNN,Logistic Regression,5,0.968421052631579,0.013303290252721993,0.974999330171744,0.010533924485904065,0.9951719576719575,0.0025465110196003058,455.0
0.2,KNN,Random Forest,5,0.9385964912280702,0.012405382126079759,0.9512591370299261,0.010219871876283851,0.9913690476190476,0.0014527700156407154,455.0
0.2,Mean,Logistic Regression,5,0.956140350877193,0.01240538212607981,0.965034965034965,0.00988960533128042,0.9932539682539682,0.002821525001018741,455.0
0.2,Mean,Random Forest,5,0.9403508771929825,0.003922926276315377,0.9525058275058275,0.003257674792394831,0.987797619047619,0.002002641789502621,455.0
0.2,Median,Logistic Regression,5,0.9508771929824562,0.015935001863671024,0.9605382324531261,0.013318961434499526,0.9928571428571429,0.0023100858725625443,455.0
0.2,Median,Random Forest,5,0.9368421052631579,0.011437197202109884,0.949666054985204,0.009507349831803827,0.9879629629629629,0.0008934693178641889,455.0
0.3,KNN,Logistic Regression,5,0.9596491228070174,0.022874394404219837,0.9675856864544535,0.01908983780753431,0.9945767195767197,0.002672235959105367,455.0
0.3,KNN,Random Forest,5,0.9456140350877194,0.013010874538764337,0.956737628838163,0.010481466747836767,0.9912037037037036,0.00445263519946092,455.0
0.3,Mean,Logistic Regression,5,0.9526315789473685,0.02527168472085603,0.9618988222179713,0.020504288816891186,0.9937169312169312,0.003982008789283166,455.0
0.3,Mean,Random Forest,5,0.9368421052631579,0.003922926276315417,0.9495677243578001,0.003336738165118866,0.989616402116402,0.0025411374938410485,455.0
0.3,Median,Logistic Regression,5,0.9526315789473685,0.02019449900565148,0.9618578938791705,0.016468102045407027,0.9932539682539684,0.003664522533649497,455.0
0.3,Median,Random Forest,5,0.9245614035087719,0.01000153881665915,0.939481645115448,0.0083965888956744,0.9873677248677248,0.003181742825774502,455.0
0.5,KNN,Logistic Regression,5,0.9456140350877194,0.00960916767552923,0.9564052968308288,0.007658657000128836,0.9910052910052911,0.00325185708173,455.0
0.5,KNN,Random Forest,5,0.9385964912280702,0.021486752129677014,0.9506087351532362,0.01783166730739276,0.9880952380952381,0.0033254274737299395,455.0
0.5,Mean,Logistic Regression,5,0.9368421052631579,0.011437197202109907,0.9490877823834557,0.009683549100965264,0.9886904761904762,0.00221091463630241,455.0
0.5,Mean,Random Forest,5,0.9280701754385966,0.015691705105261695,0.9423495006811452,0.01348739674034122,0.9853174603174603,0.0015746783665091762,455.0
0.5,Median,Logistic Regression,5,0.9298245614035088,0.008771929824561417,0.9437204036163166,0.007878208661918898,0.9885582010582011,0.0028695625859677817,455.0
0.5,Median,Random Forest,5,0.9175438596491228,0.020194499005651487,0.9337217234977899,0.017218753510504885,0.9793981481481481,0.0035377416262676576,455.0
