missingness,seed,knn_variant,model,accuracy,f1,auc
0.1,1,Unscaled,Logistic Regression,0.9649122807017544,0.971830985915493,0.9937169312169312
0.1,1,Scaled,Logistic Regression,0.956140350877193,0.965034965034965,0.9947089947089947
0.1,1,Unscaled,Random Forest,0.9385964912280702,0.951048951048951,0.9928902116402116
0.1,1,Scaled,Random Forest,0.9473684210526315,0.9583333333333334,0.9927248677248678
0.1,2,Unscaled,Logistic Regression,0.9649122807017544,0.971830985915493,0.9966931216931217
0.1,2,Scaled,Logistic Regression,0.9824561403508771,0.9861111111111112,0.9966931216931216
0.1,2,Unscaled,Random Forest,0.9385964912280702,0.951048951048951,0.9920634920634921
0.1,2,Scaled,Random Forest,0.9385964912280702,0.951048951048951,0.9912367724867724
0.1,3,Unscaled,Logistic Regression,0.9736842105263158,0.9790209790209791,0.9957010582010583
0.1,3,Scaled,Logistic Regression,0.9649122807017544,0.9722222222222222,0.9930555555555555
0.1,3,Unscaled,Random Forest,0.9473684210526315,0.9583333333333334,0.9932208994708995
0.1,3,Scaled,Random Forest,0.9385964912280702,0.951048951048951,0.9930555555555556
0.1,4,Unscaled,Logistic Regression,0.9736842105263158,0.9790209790209791,0.9937169312169313
0.1,4,Scaled,Logistic Regression,0.9824561403508771,0.9861111111111112,0.9937169312169312
0.1,4,Unscaled,Random Forest,0.9298245614035088,0.9436619718309859,0.992228835978836
0.1,4,Scaled,Random Forest,0.9298245614035088,0.9436619718309859,0.9938822751322751
0.1,5,Unscaled,Logistic Regression,0.9649122807017544,0.9722222222222222,0.9933862433862434
0.1,5,Scaled,Logistic Regression,0.9736842105263158,0.9793103448275862,0.9933862433862434
0.1,5,Unscaled,Random Forest,0.956140350877193,0.9655172413793104,0.9918981481481481
0.1,5,Scaled,Random Forest,0.956140350877193,0.9655172413793104,0.9917328042328043
0.2,1,Unscaled,Logistic Regression,0.9824561403508771,0.9861111111111112,0.9957010582010581
0.2,1,Scaled,Logistic Regression,0.9649122807017544,0.9722222222222222,0.996031746031746
0.2,1,Unscaled,Random Forest,0.9385964912280702,0.9517241379310345,0.9922288359788359
0.2,1,Scaled,Random Forest,0.9473684210526315,0.958904109589041,0.9922288359788359
0.2,2,Unscaled,Logistic Regression,0.9649122807017544,0.9722222222222222,0.9917328042328042
0.2,2,Scaled,Logistic Regression,0.956140350877193,0.965034965034965,0.9914021164021164
0.2,2,Unscaled,Random Forest,0.9385964912280702,0.951048951048951,0.988260582010582
0.2,2,Scaled,Random Forest,0.9210526315789473,0.9370629370629371,0.9889219576719578
0.2,3,Unscaled,Logistic Regression,0.9385964912280702,0.950354609929078,0.9907407407407407
0.2,3,Scaled,Logistic Regression,0.9824561403508771,0.9861111111111112,0.9943783068783069
0.2,3,Unscaled,Random Forest,0.9298245614035088,0.9436619718309859,0.9905753968253969
0.2,3,Scaled,Random Forest,0.9473684210526315,0.9583333333333334,0.9912367724867724
0.2,4,Unscaled,Logistic Regression,0.9385964912280702,0.951048951048951,0.984457671957672
0.2,4,Scaled,Logistic Regression,0.956140350877193,0.9655172413793104,0.9957010582010581
0.2,4,Unscaled,Random Forest,0.9210526315789473,0.9370629370629371,0.9856150793650794
0.2,4,Scaled,Random Forest,0.9298245614035088,0.9436619718309859,0.9918981481481481
0.2,5,Unscaled,Logistic Regression,0.9385964912280702,0.950354609929078,0.9917328042328042
0.2,5,Scaled,Logistic Regression,0.9824561403508771,0.9861111111111112,0.9983465608465608
0.2,5,Unscaled,Random Forest,0.9385964912280702,0.9517241379310345,0.9887566137566138
0.2,5,Scaled,Random Forest,0.9473684210526315,0.9583333333333334,0.9925595238095237
0.3,1,Unscaled,Logistic Regression,0.956140350877193,0.9655172413793104,0.9950396825396826
0.3,1,Scaled,Logistic Regression,0.9736842105263158,0.9790209790209791,0.9980158730158729
